Position	Time		RR		BPM
1745		1668		8.725		6.000 //开始的缓冲数据...........
1903		1826		0.790		75.000
2058		1981		0.775		77.000
2226		2149		0.840		71.000
2396		2319		0.850		70.000
2561		2484		0.825		72.000
2727		2650		0.830		72.000
2891		2814		0.820		73.000
3050		2973		0.795		75.000
3210		3133		0.800		75.000
3368		3291		0.790		75.000
3532		3455		0.820		73.000
3705		3628		0.865		69.000
3870		3793		0.825		72.000
4027		3950		0.785		76.000
4186		4109		0.795		75.000
4341		4264		0.775		77.000
4498		4421		0.785		76.000
4661		4584		0.815		73.000
4824		4747		0.815		73.000
4989		4912		0.825		72.000
5159		5082		0.850		70.000
5320		5243		0.805		74.000
5474		5397		0.770		77.000
5634		5557		0.800		75.000
5792		5715		0.790		75.000
5964		5887		0.860		69.000
6132		6055		0.840		71.000
6297		6220		0.825		72.000
6458		6381		0.805		74.000
6624		6547		0.830		72.000
6783		6706		0.795		75.000
6941		6864		0.790		75.000
7105		7028		0.820		73.000
7274		7197		0.845		71.000
7450		7373		0.880		68.000
7614		7537		0.820		73.000
7770		7693		0.780		76.000
7930		7853		0.800		75.000
8092		8015		0.810		74.000
8252		8175		0.800		75.000
8419		8342		0.835		71.000
8585		8508		0.830		72.000
8750		8673		0.825		72.000
8913		8836		0.815		73.000
9071		8994		0.790		75.000
9227		9150		0.780		76.000
9388		9311		0.805		74.000
9556		9479		0.840		71.000
9723		9646		0.835		71.000
9889		9812		0.830		72.000
10050		9973		0.805		74.000
10205		10128		0.775		77.000
10365		10288		0.800		75.000
10521		10444		0.780		76.000
10680		10603		0.795		75.000
10851		10774		0.855		70.000
11020		10943		0.845		71.000
11185		11108		0.825		72.000
11342		11265		0.785		76.000
11499		11422		0.785		76.000
11656		11579		0.785		76.000
11819		11742		0.815		73.000
11982		11905		0.815		73.000
12151		12074		0.845		71.000
12319		12242		0.840		71.000
12480		12403		0.805		74.000
12637		12560		0.785		76.000
12791		12714		0.770		77.000
12949		12872		0.790		75.000
13110		13033		0.805		74.000
13278		13201		0.840		71.000
13442		13365		0.820		73.000
13605		13528		0.815		73.000
13760		13683		0.775		77.000
13921		13844		0.805		74.000
14079		14002		0.790		75.000
14238		14161		0.795		75.000
14402		14325		0.820		73.000
14573		14496		0.855		70.000
14739		14662		0.830		72.000
14897		14820		0.790		75.000
15053		14976		0.780		76.000
15212		15135		0.795		75.000
15377		15300		0.825		72.000
15543		15466		0.830		72.000
15709		15632		0.830		72.000
15875		15798		0.830		72.000
16039		15962		0.820		73.000
16199		16122		0.800		75.000
16353		16276		0.770		77.000
16514		16437		0.805		74.000
16676		16599		0.810		74.000
16848		16771		0.860		69.000
17017		16940		0.845		71.000
17179		17102		0.810		74.000
17338		17261		0.795		75.000
17495		17418		0.785		76.000
17655		17578		0.800		75.000
17818		17741		0.815		73.000
17982		17905		0.820		73.000
18152		18075		0.850		70.000
18322		18245		0.850		70.000
18484		18407		0.810		74.000
18637		18560		0.765		78.000
18797		18720		0.800		75.000
18957		18880		0.800		75.000
19121		19044		0.820		73.000
19288		19211		0.835		71.000
19452		19375		0.820		73.000
19617		19540		0.825		72.000
19777		19700		0.800		75.000
19933		19856		0.780		76.000
20088		20011		0.775		77.000
20252		20175		0.820		73.000
20416		20339		0.820		73.000
20589		20512		0.865		69.000
20755		20678		0.830		72.000
20913		20836		0.790		75.000
21070		20993		0.785		76.000
21230		21153		0.800		75.000
21389		21312		0.795		75.000
21553		21476		0.820		73.000
21719		21642		0.830		72.000
21886		21809		0.835		71.000
22048		21971		0.810		74.000
22205		22128		0.785		76.000
22355		22278		0.750		80.000
22514		22437		0.795		75.000
22678		22601		0.820		73.000
22840		22763		0.810		74.000
23009		22932		0.845		71.000
23172		23095		0.815		73.000
23330		23253		0.790		75.000
23478		23401		0.740		81.000
23644		23567		0.830		72.000
23801		23724		0.785		76.000
23967		23890		0.830		72.000
24139		24062		0.860		69.000
24304		24227		0.825		72.000
24464		24387		0.800		75.000
24619		24542		0.775		77.000
24777		24700		0.790		75.000
24937		24860		0.800		75.000
25096		25019		0.795		75.000
25259		25182		0.815		73.000
25429		25352		0.850		70.000
25593		25516		0.820		73.000
25748		25671		0.775		77.000
25901		25824		0.765		78.000
26057		25980		0.780		76.000
26212		26135		0.775		77.000
26377		26300		0.825		72.000
26542		26465		0.825		72.000
26702		26625		0.800		75.000
26858		26781		0.780		76.000
27016		26939		0.790		75.000
27171		27094		0.775		77.000
27324		27247		0.765		78.000
27481		27404		0.785		76.000
27645		27568		0.820		73.000
27815		27738		0.850		70.000
27976		27899		0.805		74.000
28130		28053		0.770		77.000
28285		28208		0.775		77.000
28444		28367		0.795		75.000
28602		28525		0.790		75.000
28761		28684		0.795		75.000
28924		28847		0.815		73.000
29089		29012		0.825		72.000
29249		29172		0.800		75.000
29404		29327		0.775		77.000
29559		29482		0.775		77.000
29713		29636		0.770		77.000
29875		29798		0.810		74.000
30037		29960		0.810		74.000
30201		30124		0.820		73.000
30362		30285		0.805		74.000
30516		30439		0.770		77.000
30671		30594		0.775		77.000
30826		30749		0.775		77.000
30983		30906		0.785		76.000
31139		31062		0.780		76.000
31306		31229		0.835		71.000
31470		31393		0.820		73.000
31627		31550		0.785		76.000
31777		31700		0.750		80.000
31931		31854		0.770		77.000
32088		32011		0.785		76.000
32247		32170		0.795		75.000
32409		32332		0.810		74.000
32574		32497		0.825		72.000
32739		32662		0.825		72.000
32900		32823		0.805		74.000
33054		32977		0.770		77.000
33209		33132		0.775		77.000
33368		33291		0.795		75.000
33533		33456		0.825		72.000
33700		33623		0.835		71.000
33867		33790		0.835		71.000
34027		33950		0.800		75.000
34186		34109		0.795		75.000
34346		34269		0.800		75.000
34504		34427		0.790		75.000
34662		34585		0.790		75.000
34829		34752		0.835		71.000
34997		34920		0.840		71.000
35166		35089		0.845		71.000
35323		35246		0.785		76.000
35475		35398		0.760		78.000
35634		35557		0.795		75.000
35795		35718		0.805		74.000
35958		35881		0.815		73.000
36122		36045		0.820		73.000
36287		36210		0.825		72.000
36449		36372		0.810		74.000
36608		36531		0.795		75.000
36764		36687		0.780		76.000
36917		36840		0.765		78.000
37082		37005		0.825		72.000
37187		37110		0.525		114.000
37374		37297		0.935		64.000
37543		37466		0.845		71.000
37706		37629		0.815		73.000
37862		37785		0.780		76.000
38025		37948		0.815		73.000
38188		38111		0.815		73.000
38349		38272		0.805		74.000
38519		38442		0.850		70.000
38693		38616		0.870		68.000
38855		38778		0.810		74.000
39009		38932		0.770		77.000
39167		39090		0.790		75.000
39326		39249		0.795		75.000
39491		39414		0.825		72.000
39658		39581		0.835		71.000
39824		39747		0.830		72.000
39994		39917		0.850		70.000
40156		40079		0.810		74.000
40311		40234		0.775		77.000
40471		40394		0.800		75.000
40634		40557		0.815		73.000
40803		40726		0.845		71.000
40975		40898		0.860		69.000
41142		41065		0.835		71.000
41299		41222		0.785		76.000
41459		41382		0.800		75.000
41617		41540		0.790		75.000
41738		41661		0.605		99.000
41931		41854		0.965		62.000
42098		42021		0.835		71.000
42266		42189		0.840		71.000
42431		42354		0.825		72.000
42588		42511		0.785		76.000
42739		42662		0.755		79.000
42899		42822		0.800		75.000
43061		42984		0.810		74.000
43226		43149		0.825		72.000
43387		43310		0.805		74.000
43553		43476		0.830		72.000
43713		43636		0.800		75.000
43871		43794		0.790		75.000
44024		43947		0.765		78.000
44183		44106		0.795		75.000
44351		44274		0.840		71.000
44519		44442		0.840		71.000
44685		44608		0.830		72.000
44848		44771		0.815		73.000
45007		44930		0.795		75.000
45165		45088		0.790		75.000
45324		45247		0.795		75.000
45485		45408		0.805		74.000
45652		45575		0.835		71.000
45822		45745		0.850		70.000
45989		45912		0.835		71.000
46150		46073		0.805		74.000
46307		46230		0.785		76.000
46464		46387		0.785		76.000
46632		46555		0.840		71.000
46804		46727		0.860		69.000
46973		46896		0.845		71.000
47140		47063		0.835		71.000
47308		47231		0.840		71.000
47468		47391		0.800		75.000
47624		47547		0.780		76.000
47785		47708		0.805		74.000
47953		47876		0.840		71.000
48123		48046		0.850		70.000
48291		48214		0.840		71.000
48457		48380		0.830		72.000
48615		48538		0.790		75.000
48775		48698		0.800		75.000
48936		48859		0.805		74.000
49098		49021		0.810		74.000
49263		49186		0.825		72.000
49432		49355		0.845		71.000
49599		49522		0.835		71.000
49758		49681		0.795		75.000
49915		49838		0.785		76.000
50073		49996		0.790		75.000
50239		50162		0.830		72.000
50407		50330		0.840		71.000
50571		50494		0.820		73.000
50740		50663		0.845		71.000
50903		50826		0.815		73.000
51058		50981		0.775		77.000
51217		51140		0.795		75.000
51378		51301		0.805		74.000
51543		51466		0.825		72.000
51716		51639		0.865		69.000
51883		51806		0.835		71.000
52043		51966		0.800		75.000
52202		52125		0.795		75.000
52359		52282		0.785		76.000
52522		52445		0.815		73.000
52686		52609		0.820		73.000
52855		52778		0.845		71.000
53024		52947		0.845		71.000
53194		53117		0.850		70.000
53354		53277		0.800		75.000
53508		53431		0.770		77.000
53663		53586		0.775		77.000
53828		53751		0.825		72.000
53996		53919		0.840		71.000
54162		54085		0.830		72.000
54327		54250		0.825		72.000
54489		54412		0.810		74.000
54651		54574		0.810		74.000
54807		54730		0.780		76.000
54963		54886		0.780		76.000
55126		55049		0.815		73.000
55292		55215		0.830		72.000
55402		55325		0.550		109.000
55596		55519		0.970		61.000
55756		55679		0.800		75.000
55910		55833		0.770		77.000
56069		55992		0.795		75.000
56230		56153		0.805		74.000
56392		56315		0.810		74.000
56554		56477		0.810		74.000
56714		56637		0.800		75.000
56877		56800		0.815		73.000
57034		56957		0.785		76.000
57187		57110		0.765		78.000
57343		57266		0.780		76.000
57508		57431		0.825		72.000
57674		57597		0.830		72.000
57838		57761		0.820		73.000
58003		57926		0.825		72.000
58160		58083		0.785		76.000
58319		58242		0.795		75.000
58479		58402		0.800		75.000
58639		58562		0.800		75.000
58806		58729		0.835		71.000
58977		58900		0.855		70.000
59143		59066		0.830		72.000
59302		59225		0.795		75.000
59459		59382		0.785		76.000
59613		59536		0.770		77.000
59777		59700		0.820		73.000
59941		59864		0.820		73.000
60104		60027		0.815		73.000
60270		60193		0.830		72.000
60437		60360		0.835		71.000
60594		60517		0.785		76.000
60746		60669		0.760		78.000
60905		60828		0.795		75.000
61065		60988		0.800		75.000
61234		61157		0.845		71.000
61399		61322		0.825		72.000
61565		61488		0.830		72.000
61725		61648		0.800		75.000
61881		61804		0.780		76.000
62037		61960		0.780		76.000
62197		62120		0.800		75.000
62362		62285		0.825		72.000
62527		62450		0.825		72.000
62696		62619		0.845		71.000
62858		62781		0.810		74.000
63014		62937		0.780		76.000
63170		63093		0.780		76.000
63330		63253		0.800		75.000
63492		63415		0.810		74.000
63651		63574		0.795		75.000
63811		63734		0.800		75.000
63969		63892		0.790		75.000
64124		64047		0.775		77.000
64272		64195		0.740		81.000
64421		64344		0.745		80.000
64571		64494		0.750		80.000
64729		64652		0.790		75.000
64887		64810		0.790		75.000
65046		64969		0.795		75.000
65198		65121		0.760		78.000
65354		65277		0.780		76.000
65505		65428		0.755		79.000
65660		65583		0.775		77.000
65814		65737		0.770		77.000
65973		65896		0.795		75.000
66142		66065		0.845		71.000
66310		66233		0.840		71.000
66474		66397		0.820		73.000
66630		66553		0.780		76.000
66789		66712		0.795		75.000
66955		66878		0.830		72.000
67122		67045		0.835		71.000
67297		67220		0.875		68.000
67469		67392		0.860		69.000
67638		67561		0.845		71.000
67796		67719		0.790		75.000
67951		67874		0.775		77.000
68114		68037		0.815		73.000
68274		68197		0.800		75.000
68441		68364		0.835		71.000
68613		68536		0.860		69.000
68782		68705		0.845		71.000
68933		68856		0.755		79.000
69091		69014		0.790		75.000
69250		69173		0.795		75.000
69400		69323		0.750		80.000
69558		69481		0.790		75.000
69721		69644		0.815		73.000
69885		69808		0.820		73.000
70039		69962		0.770		77.000
70193		70116		0.770		77.000
70344		70267		0.755		79.000
70494		70417		0.750		80.000
70649		70572		0.775		77.000
70810		70733		0.805		74.000
70970		70893		0.800		75.000
71131		71054		0.805		74.000
71239		71162		0.540		111.000
71426		71349		0.935		64.000
71579		71502		0.765		78.000
71724		71647		0.725		82.000
71875		71798		0.755		79.000
72035		71958		0.800		75.000
72190		72113		0.775		77.000
72333		72256		0.715		83.000
72479		72402		0.730		82.000
72618		72541		0.695		86.000
72755		72678		0.685		87.000
72899		72822		0.720		83.000
73039		72962		0.700		85.000
73182		73105		0.715		83.000
73331		73254		0.745		80.000
73481		73404		0.750		80.000
73624		73547		0.715		83.000
73763		73686		0.695		86.000
73904		73827		0.705		85.000
74041		73964		0.685		87.000
74185		74108		0.720		83.000
74337		74260		0.760		78.000
74487		74410		0.750		80.000
74634		74557		0.735		81.000
74782		74705		0.740		81.000
74934		74857		0.760		78.000
75074		74997		0.700		85.000
75214		75137		0.700		85.000
75360		75283		0.730		82.000
75513		75436		0.765		78.000
75669		75592		0.780		76.000
75830		75753		0.805		74.000
75986		75909		0.780		76.000
76135		76058		0.745		80.000
76286		76209		0.755		79.000
76440		76363		0.770		77.000
76595		76518		0.775		77.000
76750		76673		0.775		77.000
76915		76838		0.825		72.000
77080		77003		0.825		72.000
77239		77162		0.795		75.000
77393		77316		0.770		77.000
77546		77469		0.765		78.000
77702		77625		0.780		76.000
77863		77786		0.805		74.000
78026		77949		0.815		73.000
78190		78113		0.820		73.000
78347		78270		0.785		76.000
78498		78421		0.755		79.000
78648		78571		0.750		80.000
78793		78716		0.725		82.000
78937		78860		0.720		83.000
79084		79007		0.735		81.000
79235		79158		0.755		79.000
79383		79306		0.740		81.000
79529		79452		0.730		82.000
79671		79594		0.710		84.000
79810		79733		0.695		86.000
79950		79873		0.700		85.000
80092		80015		0.710		84.000
80238		80161		0.730		82.000
80390		80313		0.760		78.000
80542		80465		0.760		78.000
80698		80621		0.780		76.000
80848		80771		0.750		80.000
80994		80917		0.730		82.000
81136		81059		0.710		84.000
81285		81208		0.745		80.000
81438		81361		0.765		78.000
81600		81523		0.810		74.000
81754		81677		0.770		77.000
81908		81831		0.770		77.000
82060		81983		0.760		78.000
82209		82132		0.745		80.000
82357		82280		0.740		81.000
82504		82427		0.735		81.000
82656		82579		0.760		78.000
82811		82734		0.775		77.000
82971		82894		0.800		75.000
83129		83052		0.790		75.000
83284		83207		0.775		77.000
83429		83352		0.725		82.000
83581		83504		0.760		78.000
83733		83656		0.760		78.000
83884		83807		0.755		79.000
84037		83960		0.765		78.000
84195		84118		0.790		75.000
84358		84281		0.815		73.000
84509		84432		0.755		79.000
84656		84579		0.735		81.000
84808		84731		0.760		78.000
84959		84882		0.755		79.000
85117		85040		0.790		75.000
85281		85204		0.820		73.000
85437		85360		0.780		76.000
85592		85515		0.775		77.000
85743		85666		0.755		79.000
85897		85820		0.770		77.000
86047		85970		0.750		80.000
86196		86119		0.745		80.000
86352		86275		0.780		76.000
86518		86441		0.830		72.000
86672		86595		0.770		77.000
86820		86743		0.740		81.000
86965		86888		0.725		82.000
87106		87029		0.705		85.000
87250		87173		0.720		83.000
87396		87319		0.730		82.000
87541		87464		0.725		82.000
87688		87611		0.735		81.000
87835		87758		0.735		81.000
87988		87911		0.765		78.000
88129		88052		0.705		85.000
88263		88186		0.670		89.000
88399		88322		0.680		88.000
88539		88462		0.700		85.000
88680		88603		0.705		85.000
88823		88746		0.715		83.000
88970		88893		0.735		81.000
89113		89036		0.715		83.000
89250		89173		0.685		87.000
89389		89312		0.695		86.000
89527		89450		0.690		86.000
89665		89588		0.690		86.000
89802		89725		0.685		87.000
89949		89872		0.735		81.000
90099		90022		0.750		80.000
90251		90174		0.760		78.000
90398		90321		0.735		81.000
90544		90467		0.730		82.000
90687		90610		0.715		83.000
90837		90760		0.750		80.000
90985		90908		0.740		81.000
91134		91057		0.745		80.000
91292		91215		0.790		75.000
91447		91370		0.775		77.000
91597		91520		0.750		80.000
91742		91665		0.725		82.000
91883		91806		0.705		85.000
92023		91946		0.700		85.000
92167		92090		0.720		83.000
92320		92243		0.765		78.000
92469		92392		0.745		80.000
92618		92541		0.745		80.000
92769		92692		0.755		79.000
92919		92842		0.750		80.000
93063		92986		0.720		83.000
93214		93137		0.755		79.000
93364		93287		0.750		80.000
93519		93442		0.775		77.000
93683		93606		0.820		73.000
93849		93772		0.830		72.000
94009		93932		0.800		75.000
94162		94085		0.765		78.000
94318		94241		0.780		76.000
94473		94396		0.775		77.000
94636		94559		0.815		73.000
94799		94722		0.815		73.000
94923		94846		0.620		96.000
95121		95044		0.990		60.000
95287		95210		0.830		72.000
95442		95365		0.775		77.000
95591		95514		0.745		80.000
95746		95669		0.775		77.000
95903		95826		0.785		76.000
96066		95989		0.815		73.000
96228		96151		0.810		74.000
96387		96310		0.795		75.000
96541		96464		0.770		77.000
96695		96618		0.770		77.000
96844		96767		0.745		80.000
96998		96921		0.770		77.000
97156		97079		0.790		75.000
97315		97238		0.795		75.000
97481		97404		0.830		72.000
97639		97562		0.790		75.000
97789		97712		0.750		80.000
97938		97861		0.745		80.000
98095		98018		0.785		76.000
98246		98169		0.755		79.000
98399		98322		0.765		78.000
98552		98475		0.765		78.000
98704		98627		0.760		78.000
98856		98779		0.760		78.000
99002		98925		0.730		82.000
99144		99067		0.710		84.000
99289		99212		0.725		82.000
99436		99359		0.735		81.000
99590		99513		0.770		77.000
99740		99663		0.750		80.000
99892		99815		0.760		78.000
100039		99962		0.735		81.000
100181		100104		0.710		84.000
100326		100249		0.725		82.000
100471		100394		0.725		82.000
100615		100538		0.720		83.000
100767		100690		0.760		78.000
100926		100849		0.795		75.000
101086		101009		0.800		75.000
101238		101161		0.760		78.000
101388		101311		0.750		80.000
101538		101461		0.750		80.000
101689		101612		0.755		79.000
101847		101770		0.790		75.000
102010		101933		0.815		73.000
102179		102102		0.845		71.000
102342		102265		0.815		73.000
102503		102426		0.805		74.000
102663		102586		0.800		75.000
102820		102743		0.785		76.000
102976		102899		0.780		76.000
103141		103064		0.825		72.000
103318		103241		0.885		67.000
103490		103413		0.860		69.000
103650		103573		0.800		75.000
103811		103734		0.805		74.000
103971		103894		0.800		75.000
104130		104053		0.795		75.000
104290		104213		0.800		75.000
104453		104376		0.815		73.000
104624		104547		0.855		70.000
104791		104714		0.835		71.000
104948		104871		0.785		76.000
105104		105027		0.780		76.000
105263		105186		0.795		75.000
105427		105350		0.820		73.000
105596		105519		0.845		71.000
105762		105685		0.830		72.000
105929		105852		0.835		71.000
106091		106014		0.810		74.000
106253		106176		0.810		74.000
106411		106334		0.790		75.000
106565		106488		0.770		77.000
106734		106657		0.845		71.000
106902		106825		0.840		71.000
107066		106989		0.820		73.000
107225		107148		0.795		75.000
107383		107306		0.790		75.000
107537		107460		0.770		77.000
107692		107615		0.775		77.000
107854		107777		0.810		74.000
108014		107937		0.800		75.000
108177		108100		0.815		73.000
108340		108263		0.815		73.000
108500		108423		0.800		75.000
108650		108573		0.750		80.000
108803		108726		0.765		78.000
108957		108880		0.770		77.000
109118		109041		0.805		74.000
109280		109203		0.810		74.000
109439		109362		0.795		75.000
109598		109521		0.795		75.000
109755		109678		0.785		76.000
109904		109827		0.745		80.000
110051		109974		0.735		81.000
110205		110128		0.770		77.000
110360		110283		0.775		77.000
110520		110443		0.800		75.000
110678		110601		0.790		75.000
110832		110755		0.770		77.000
110979		110902		0.735		81.000
111133		111056		0.770		77.000
111281		111204		0.740		81.000
111433		111356		0.760		78.000
111588		111511		0.775		77.000
111743		111666		0.775		77.000
111897		111820		0.770		77.000
112049		111972		0.760		78.000
112194		112117		0.725		82.000
112339		112262		0.725		82.000
112490		112413		0.755		79.000
112644		112567		0.770		77.000
112800		112723		0.780		76.000
112959		112882		0.795		75.000
113118		113041		0.795		75.000
113269		113192		0.755		79.000
113425		113348		0.780		76.000
113579		113502		0.770		77.000
113732		113655		0.765		78.000
113888		113811		0.780		76.000
114057		113980		0.845		71.000
114223		114146		0.830		72.000
114378		114301		0.775		77.000
114534		114457		0.780		76.000
114684		114607		0.750		80.000
114839		114762		0.775		77.000
114994		114917		0.775		77.000
115152		115075		0.790		75.000
115314		115237		0.810		74.000
115482		115405		0.840		71.000
